,Location,Total Land Area (acres),Number of Cows,Farm Size,Quantity (liters/kg),Price per Unit,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
0,Telangana,310.84,96,Medium,222.4,85.72,7,82.24,575.68,Wholesale,215,19.55,64.03
1,Uttar Pradesh,19.19,44,Large,687.48,42.61,558,39.24,21895.92,Wholesale,129,43.17,181.1
2,Tamil Nadu,581.69,24,Medium,503.48,36.5,256,33.81,8655.36,Online,247,15.1,140.83
3,Telangana,908.0,89,Small,823.36,26.52,601,28.92,17380.92,Online,222,74.5,57.68
4,Maharashtra,861.95,21,Medium,147.77,83.85,145,83.07,12045.15,Retail,2,76.02,33.4
5,Telangana,87.64,51,Medium,593.92,85.54,74,84.75,6271.5,Retail,519,55.6,139.59
6,Karnataka,73.28,74,Small,757.14,36.83,410,32.66,13390.6,Online,347,49.82,105.86
7,Bihar,67.61,77,Medium,203.36,29.08,15,29.09,436.35,Online,188,10.9,25.14
8,West Bengal,72.31,76,Medium,949.12,22.79,860,24.77,21302.2,Wholesale,89,85.71,32.03
9,Telangana,413.24,36,Large,385.64,42.08,108,46.15,4984.2,Retail,277,93.61,66.26
10,Madhya Pradesh,867.78,82,Small,52.62,67.23,22,68.09,1497.98,Wholesale,30,81.34,118.57
11,Chandigarh,648.52,99,Small,653.04,84.6,345,88.05,30377.25,Online,308,26.65,24.68
12,Delhi,236.72,81,Large,12.39,58.28,1,58.09,58.09,Retail,11,31.99,69.19
13,Telangana,856.0,39,Large,612.16,94.43,80,94.32,7545.6,Online,532,47.95,198.99
14,Gujarat,182.28,70,Medium,797.69,88.66,645,93.51,60313.95,Retail,152,83.86,144.3
15,Kerala,14.97,71,Small,821.52,11.58,778,8.69,6760.82,Retail,43,89.45,28.11
16,Madhya Pradesh,233.62,95,Large,663.34,48.83,438,52.79,23122.02,Retail,225,86.28,91.7
17,Kerala,412.69,88,Medium,385.41,26.18,270,30.27,8172.9,Online,115,52.16,20.14
18,Madhya Pradesh,420.85,25,Large,367.14,41.05,309,40.75,12591.75,Online,58,37.27,79.56
19,Tamil Nadu,534.5,52,Medium,896.89,93.72,486,96.08,46694.88,Wholesale,410,26.87,92.23
20,Jharkhand,705.01,24,Large,88.69,87.53,26,87.3,2269.8,Wholesale,62,31.49,106.59
21,Bihar,338.45,85,Small,220.03,13.94,62,14.13,876.06,Online,158,29.59,193.62
22,Gujarat,30.85,41,Large,524.57,84.48,173,89.32,15452.36,Retail,351,92.88,37.73
23,Karnataka,395.58,79,Small,879.11,90.1,610,91.05,55540.5,Online,269,48.9,86.16
24,Maharashtra,276.44,80,Small,212.56,81.31,55,76.37,4200.35,Online,157,18.64,64.06
25,Rajasthan,551.85,12,Large,886.35,62.21,845,66.7,56361.5,Wholesale,41,46.25,70.4
26,Madhya Pradesh,109.69,27,Small,430.46,89.64,47,92.96,4369.12,Wholesale,383,21.55,184.32
27,Jharkhand,15.88,90,Small,440.42,77.46,246,77.53,19072.38,Retail,194,88.03,53.81
28,Chandigarh,456.36,45,Medium,565.23,86.39,305,84.57,25793.85,Retail,260,25.75,124.9
29,Kerala,98.07,87,Small,101.56,18.99,26,21.19,550.94,Retail,75,52.26,113.92
30,Chandigarh,726.57,57,Large,770.27,80.1,557,81.76,45540.32,Retail,213,83.63,79.83
31,Delhi,509.17,41,Large,985.95,92.69,56,96.86,5424.16,Retail,929,37.94,187.73
32,Bihar,573.99,100,Medium,595.79,44.3,137,46.82,6414.34,Wholesale,458,91.23,73.05
33,Tamil Nadu,589.36,97,Medium,581.5,43.88,86,41.49,3568.14,Wholesale,495,54.72,156.21
34,Karnataka,197.58,65,Small,332.87,97.87,95,101.56,9648.2,Retail,237,75.91,59.2
35,Bihar,639.32,25,Large,652.4,61.24,389,65.53,25491.17,Retail,263,45.01,121.01
36,Chandigarh,750.03,81,Small,486.43,27.23,384,25.51,9795.84,Online,102,99.86,189.33
37,Maharashtra,987.14,52,Large,524.71,49.39,167,45.86,7658.62,Retail,357,33.58,118.33
38,Karnataka,783.65,77,Large,675.65,36.87,671,32.92,22089.32,Wholesale,4,10.25,55.87
39,Jharkhand,373.77,79,Medium,267.21,27.31,116,22.62,2623.92,Wholesale,151,53.34,42.38
40,Chandigarh,819.45,42,Medium,801.25,34.8,292,38.9,11358.8,Wholesale,509,46.12,32.45
41,Delhi,778.16,42,Large,112.8,91.62,104,93.93,9768.72,Retail,8,92.48,104.82
42,Tamil Nadu,428.84,88,Medium,797.52,92.04,715,89.08,63692.2,Wholesale,82,17.51,21.64
43,Chandigarh,389.58,36,Large,675.77,52.35,6,54.41,326.46,Wholesale,669,15.3,106.03
44,Rajasthan,332.75,98,Medium,865.01,46.37,302,42.34,12786.68,Retail,563,70.1,170.61
45,Chandigarh,524.45,67,Medium,8.47,90.79,3,87.28,261.84,Retail,5,54.58,128.52
46,Madhya Pradesh,816.9,21,Small,381.78,23.83,82,20.25,1660.5,Wholesale,299,39.14,188.98
47,Madhya Pradesh,343.51,12,Medium,834.13,25.48,406,27.22,11051.32,Online,428,58.16,128.69
48,Haryana,201.32,37,Medium,681.45,78.56,552,74.45,41096.4,Retail,129,64.85,86.46
49,Chandigarh,827.42,82,Large,988.64,55.77,262,52.57,13773.34,Retail,726,78.44,138.43
50,Jharkhand,327.49,65,Medium,410.48,41.31,141,43.02,6065.82,Online,269,62.67,83.4
51,Rajasthan,226.52,53,Large,351.11,58.25,305,62.31,19004.55,Online,46,51.48,147.89
52,Rajasthan,338.65,79,Large,83.31,62.03,62,65.24,4044.88,Retail,21,21.47,112.76
53,Delhi,672.52,32,Medium,30.69,89.8,22,92.23,2029.06,Retail,8,27.1,22.11
54,Kerala,976.62,76,Small,9.78,82.89,2,85.42,170.84,Wholesale,7,50.62,197.39
55,Maharashtra,71.89,12,Small,953.21,48.71,705,45.04,31753.2,Retail,248,11.47,68.17
56,Telangana,386.08,98,Small,707.2,98.37,145,101.64,14737.8,Retail,562,65.74,122.35
57,Maharashtra,968.19,48,Medium,839.1,56.07,11,58.17,639.87,Online,828,25.18,144.48
58,Delhi,744.96,19,Medium,960.28,68.66,956,69.79,66719.24,Wholesale,4,38.11,199.68
59,Telangana,654.24,19,Large,65.8,82.43,26,84.9,2207.4,Online,39,67.7,95.52
60,Rajasthan,418.17,20,Large,685.84,92.97,634,95.09,60287.06,Retail,51,78.67,99.91
61,Delhi,76.43,31,Small,754.25,20.21,290,21.16,6136.4,Online,464,75.4,82.78
62,Chandigarh,647.03,74,Small,750.7,86.58,696,83.73,58276.08,Wholesale,54,31.69,187.36
63,Chandigarh,126.19,90,Large,838.85,61.21,392,61.22,23998.24,Wholesale,446,34.63,46.0
64,Delhi,948.51,94,Small,791.17,45.01,534,48.01,25637.34,Wholesale,257,80.22,59.28
65,Uttar Pradesh,377.27,100,Medium,62.79,95.03,16,93.22,1491.52,Wholesale,46,10.47,152.91
66,Gujarat,266.22,58,Large,931.71,45.36,834,40.97,34168.98,Wholesale,97,47.75,30.21
67,Uttar Pradesh,291.16,77,Large,398.09,22.2,304,23.26,7071.04,Online,94,89.77,81.83
68,Rajasthan,132.6,22,Medium,548.97,27.07,386,25.29,9761.94,Online,162,28.6,140.82
69,Maharashtra,966.32,79,Medium,357.6,68.17,9,65.87,592.83,Wholesale,348,82.26,113.24
70,Chandigarh,85.67,19,Medium,455.19,44.64,420,48.13,20214.6,Online,35,40.44,148.64
71,Jharkhand,478.25,40,Large,156.97,81.7,103,80.26,8266.78,Retail,53,38.15,44.82
72,Bihar,351.15,38,Large,120.72,44.7,78,48.75,3802.5,Online,42,25.08,69.37
73,Karnataka,472.49,23,Small,23.96,53.76,23,56.57,1301.11,Online,0,41.42,186.26
74,Delhi,872.78,35,Large,373.21,38.88,166,36.18,6005.88,Retail,207,26.68,44.52
75,Chandigarh,414.17,38,Small,551.14,64.01,203,65.1,13215.3,Wholesale,348,89.68,119.95
76,Maharashtra,162.03,28,Medium,595.93,35.46,54,34.78,1878.12,Online,541,74.07,155.47
77,Haryana,829.55,32,Medium,928.93,50.94,869,54.74,47569.06,Online,59,97.61,158.99
78,Karnataka,315.14,24,Medium,118.22,20.18,84,15.64,1313.76,Online,34,40.9,157.94
79,Uttar Pradesh,716.54,90,Large,197.25,99.96,150,100.74,15111.0,Wholesale,47,28.23,93.72
80,Gujarat,364.27,41,Small,69.59,95.3,36,98.67,3552.12,Retail,33,62.77,87.86
81,Uttar Pradesh,605.79,38,Small,705.44,77.71,279,80.91,22573.89,Retail,426,10.55,66.62
82,Jharkhand,175.31,69,Large,336.47,65.23,108,61.59,6651.72,Wholesale,228,63.42,100.69
83,Jharkhand,908.72,39,Large,616.07,80.74,362,83.85,30353.7,Wholesale,254,61.49,132.2
84,West Bengal,11.73,54,Small,343.94,43.79,320,43.76,14003.2,Retail,23,44.92,24.81
85,Jharkhand,53.08,95,Medium,999.78,49.06,499,48.14,24021.86,Online,500,39.56,41.02
86,Rajasthan,746.23,98,Medium,211.51,63.08,206,64.22,13229.32,Online,5,81.94,85.62
87,Uttar Pradesh,880.7,78,Large,504.33,76.58,490,81.37,39871.3,Retail,14,73.82,49.34
88,Gujarat,776.36,17,Medium,535.1,13.66,18,8.83,158.94,Retail,517,32.01,46.46
89,Uttar Pradesh,951.4,30,Large,729.21,16.37,458,12.86,5889.88,Wholesale,271,52.59,188.98
90,Maharashtra,53.06,62,Medium,149.16,86.32,140,81.47,11405.8,Online,9,25.63,185.72
91,Gujarat,484.34,61,Small,674.12,43.22,230,42.79,9841.7,Retail,444,99.99,131.43
92,Tamil Nadu,291.79,55,Large,627.29,28.93,465,29.8,13857.0,Online,162,27.19,46.76
93,Madhya Pradesh,84.24,77,Small,865.53,45.95,581,49.38,28689.78,Wholesale,284,51.12,123.76
94,West Bengal,240.04,89,Large,582.19,52.51,556,53.75,29885.0,Retail,26,21.15,91.16
95,Karnataka,728.93,94,Large,280.1,78.72,163,75.83,12360.29,Retail,117,39.3,119.41
96,Kerala,845.18,66,Medium,331.3,67.3,135,67.91,9167.85,Retail,196,82.87,190.42
97,Delhi,872.75,29,Large,229.17,29.49,159,34.04,5412.36,Wholesale,70,28.29,22.58
98,West Bengal,287.81,88,Medium,38.2,75.82,3,77.91,233.73,Online,35,72.22,38.25
99,Gujarat,305.81,66,Medium,242.26,26.85,158,25.72,4063.76,Retail,84,58.3,186.84
100,Madhya Pradesh,845.65,48,Medium,898.01,25.44,674,27.1,18265.4,Online,224,70.14,111.3
101,Chandigarh,670.22,73,Large,648.13,99.03,597,103.49,61783.53,Retail,51,84.53,83.17
102,Tamil Nadu,813.84,29,Medium,303.9,35.1,296,36.16,10703.36,Wholesale,7,87.43,112.99
103,Uttar Pradesh,104.95,58,Medium,615.24,95.65,281,96.42,27094.02,Retail,334,46.01,130.83
104,Gujarat,178.74,14,Large,105.47,27.19,50,27.0,1350.0,Wholesale,55,79.2,64.33
105,Chandigarh,790.64,46,Large,928.58,82.34,552,78.38,43265.76,Retail,376,15.44,24.86
106,Karnataka,836.93,43,Large,862.73,98.65,7,99.66,697.62,Online,855,14.71,51.89
107,Jharkhand,490.22,66,Large,904.53,21.58,129,22.4,2889.6,Online,775,97.75,180.13
108,Karnataka,953.38,37,Small,969.09,61.34,779,60.15,46856.85,Wholesale,190,32.08,128.68
109,Rajasthan,760.89,72,Large,215.99,27.78,39,23.87,930.93,Wholesale,176,89.31,132.49
110,Delhi,521.82,82,Large,394.68,85.32,104,81.24,8448.96,Online,290,68.67,94.0
111,Chandigarh,479.23,23,Large,86.33,48.91,84,45.16,3793.44,Online,2,32.22,91.81
112,Chandigarh,782.36,28,Large,448.41,64.9,36,63.9,2300.4,Online,412,67.42,105.24
113,Tamil Nadu,532.8,52,Large,959.1,80.71,263,81.78,21508.14,Retail,696,17.87,52.32
114,Delhi,423.46,46,Large,950.71,38.42,459,36.69,16840.71,Retail,491,41.25,182.23
115,Madhya Pradesh,577.76,13,Small,661.7,76.05,275,73.34,20168.5,Online,386,54.28,31.0
116,Chandigarh,540.29,58,Medium,682.38,46.2,313,41.5,12989.5,Wholesale,369,24.91,28.2
117,Kerala,299.33,58,Small,662.83,73.51,131,75.47,9886.57,Online,531,61.61,147.88
118,Delhi,811.18,73,Medium,41.39,67.85,9,65.07,585.63,Online,32,44.27,67.3
119,Bihar,603.54,44,Small,408.73,34.92,187,34.0,6358.0,Online,221,11.06,123.37
120,Chandigarh,995.55,90,Medium,576.03,58.83,332,62.34,20696.88,Retail,244,65.34,164.95
121,Delhi,550.58,89,Small,59.99,51.59,22,51.83,1140.26,Online,37,30.77,164.92
122,Maharashtra,34.41,92,Large,771.93,19.17,554,15.52,8598.08,Retail,217,30.82,172.32
123,West Bengal,518.23,59,Medium,833.58,20.43,463,16.51,7644.13,Retail,370,51.4,117.04
124,Telangana,898.35,61,Medium,520.56,91.25,358,91.27,32674.66,Online,162,26.62,48.34
125,Delhi,769.43,55,Large,252.87,85.18,137,87.69,12013.53,Wholesale,115,31.94,47.74
126,Maharashtra,699.19,96,Small,571.27,59.43,217,64.24,13940.08,Retail,354,59.8,124.23
127,Madhya Pradesh,603.11,73,Medium,333.33,16.94,127,12.67,1609.09,Wholesale,206,82.77,106.76
